operatorname;theme;indicator;transportmode;transportsubmode;id_line;name_line;trimester;year;percent_result;occurrence_result;target_reference_contract;penality
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Tramtrain;;C02344;T13;T2;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01742;A;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01729;E;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01737;L;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Tramtrain;;C02344;T13;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01736;K;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01737;L;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01740;R;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Tramtrain;;C01999;T11;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;RER;;C01728;D;T2;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01739;P;T2;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Tramtrain;;C01843;T4;T2;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;RER;;C01727;C;T3;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01731;J;T3;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01739;P;T3;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs statique en situation normale à bord;Train;;C01736;K;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01743;B;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01729;E;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01741;U;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01730;H;T2;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Tramtrain;;C01999;T11;T2;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Tramtrain;;C02344;T13;T2;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01731;J;T3;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01738;N;T3;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;RER;;C01729;E;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01736;K;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Train;;C01741;U;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Tramtrain;;C01843;T4;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Tramtrain;;C01999;T11;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale en gare et station;Tramtrain;;C02344;T13;T4;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01736;K;T1;2024;;;95.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Tramtrain;;C02344;T13;T1;2024;;;95.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;RER;;C01727;C;T2;2024;;;76.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;RER;;C01729;E;T2;2024;;;87.3;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01738;N;T2;2024;;;94.69999999999999;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Tramtrain;;C01843;T4;T2;2024;;;87.5;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Tramtrain;;C01999;T11;T2;2024;;;95.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Tramtrain;;C02344;T13;T2;2024;;;95.0;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;RER;;C01729;E;T3;2024;;;87.3;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01731;J;T3;2024;;;80.5;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01740;R;T3;2024;;;93.8;Non
SNCF;Information voyageurs;Information voyageurs dynamique et sonore en situation normale à bord;Train;;C01741;U;T3;2024;;;84.5;Non
